title,author,publisher,price,language,pages,genre,category,target,EAN,code,year,url
50 Shades Darker,Է․ Լ․ Ջեյմս,,8900 դրամ,,,Գեղարվեստական,Հայ ժամանակակից արձակ,,,,,https://zangakbookstore.am/50-shades-darker-1
Dances with Wolves,Մայքլ Բլեք,,800 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/dances-with-wolves-1
White Oleander,Ջանեթ Ֆիչ,,2500 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/white-oleander-1
The Man in the Black Suit,Սթիվեն Քինգ,,2900 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/the-man-in-the-black-suit-1
Interview with the vampire,Էնն Ռայս,,1900 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/interview-with-the-vampire
The Thief and Other Stories,Ռութ Ռենդել,,2200 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/the-thief-and-other-stories-1
Memoirs of a Geisha,Արթուր Գոլդեն,,800 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/memoirs-of-a-geisha-1
The Green Mile,Սթիվեն Քինգ,,800 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/the-green-mile-2
One Flew over the Cuckoo`s Nest,Քեն Քիզի,,800 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/one-flew-over-the-cuckoos-nest-1
Бэтмен. Земля-1. Книга 1,Ջեֆ Ջոնս,,8200 դրամ,,,Կոմիքսներ,Գրաֆիկական վեպեր,,,,,https://zangakbookstore.am/betmen-zemlya-1-kniga-2
Сумерки։ Илюстрированный путеводитель по фильму,Մարկ Վազ,,5900 դրամ,,,Ոչ գեղարվեստական,Կինո և թատրոն,,,,,https://zangakbookstore.am/sumerki-ilyustrirovanniy-putevoditel-po-filmu-1
Зов кукушки,Ռոբերտ Գելբրեյթ,,7800 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/zov-kukushki-1
Дом странныx детей,Ռենսոն Ռիգզ,,8700 դրամ,,,Գեղարվեստական,Գիտական ֆանտաստիկա,,,,,https://zangakbookstore.am/dom-strannix-detey-1
Двойная радуга,Նարինե Աբգարյան,,5300 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/dvoynaya-raduga-1
Понаехавшая,Նարինե Աբգարյան,,3800 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/ponaekhavshaya-1
Повелитель мух,Ուիլյամ Գոլդինգ,,3100 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/povelitel-mukh-1
Красное и черное,Ստենդալ,,5200 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/krasnoe-i-chernoe-1
Бремя страстей человеческих,Սոմերսեթ Մոեմ,,6300 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/bremya-strastey-chelovecheskikh-1
Солнечный удар,Իվան Բունին,,600 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/solnechniy-udar-1
Приключения принца Флоризеля,Ռոբերտ Լյուիս Սթիվենսոն,,2200 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/priklyucheniya-printsa-florizelya-1
